crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp
BC_BT,7,3,0.91,23.66,18928.0,0.0,18928.0,10361.749125,554.07625,8588.181875,0.3447892034847542
CS_NGT_NISM,1,2,775.8,33514.560000000005,864340.5024,1795520.3862857143,2659860.888685714,1180203.2387485714,9863.742857142857,152888.0142857143,6.137985598719887
CS_NGT_NISM,2,2,2151.11,92927.952,2396611.88208,4978553.568114285,7375165.450194285,3272424.5796654285,27349.827142857146,423922.3207142858,17.01918303849231
CS_NGT_NISM,3,2,4019.76,173653.632,4478527.16928,9303378.484114286,13781905.653394286,6115150.516875428,51108.37714285715,792179.8457142857,31.803594986221
CS_NGT_NISM,4,1,3256.9,140698.08000000002,3628603.4831999997,7537806.581714286,11166410.064914286,4954632.544831429,41409.15714285715,641841.9357142858,25.767988265623615
CS_NGT_NISM,5,1,318.72,13768.704000000002,355094.87616,737649.2105142857,1092744.0866742856,484859.98485942854,4052.297142857143,62810.60571428572,2.521653480309361
CS_NGT_NISM,6,1,104.55,4516.56,116482.08239999998,241971.71485714286,358453.79725714284,159049.0443557143,1329.2785714285715,20603.817857142858,0.8271801937950041
CS_NGT_NISM,7,3,2186.09,94439.088,2435584.0795199997,5059511.679885714,7495095.759405714,3325638.693214571,27794.57285714286,430815.87928571436,17.295938305627168
IG_PLA,1,2,20.33,365.94,548910.0,0.0,548910.0,231683.83114999998,13661.76,211757.28,8.501406347230864
IG_PLA,2,2,36.1,649.8,974700.0,0.0,974700.0,411401.1955,24259.2,376017.60000000003,15.095955196017425
IG_PLA,3,2,38.81,698.58,1047870.0,0.0,1047870.0,442284.77554999996,26080.32,404244.96,16.229197261978843
IG_PLA,4,1,32.25,580.5,870750.0,0.0,870750.0,367525.99874999997,21672.0,335916.0,13.485998755444928
IG_PLA,5,1,5.26,94.68,142020.0,0.0,142020.0,59943.775299999994,3534.72,54788.16,2.199576851275669
IG_PLA,6,1,4.65,83.7,125550.0,0.0,125550.0,52992.120749999995,3124.8,48434.4,1.9444928438083386
IG_PLA,7,3,8.02,144.35999999999999,216540.0,0.0,216540.0,91397.16309999999,5389.4400000000005,83536.32,3.353727442439328
JA,1,2,23.62,0.0,0.0,4724.0,4724.0,2739.92,141.72,2196.66,0.08818917237087742
JA,2,2,52.29,0.0,0.0,10458.0,10458.0,6065.64,313.74,4862.97,0.19523335407591785
JA,3,2,219.81,0.0,0.0,43962.0,43962.0,25497.96,1318.86,20442.33,0.8206969508400747
JA,4,1,69.72,0.0,0.0,13944.0,13944.0,8087.5199999999995,418.32,6483.96,0.26031113876789047
JA,5,1,190.46,0.0,0.0,38092.0,38092.0,22093.36,1142.76,17712.78,0.7111138767890479
JA,6,1,51.83,0.0,0.0,10366.0,10366.0,6012.28,310.98,4820.19,0.19351586807716242
JA,7,3,13.74,0.0,0.0,2748.0,2748.0,1593.8400000000001,82.44,1277.8200000000002,0.0513005600497822
